ra,dec,phot_g_mean_mag
181772,-78741,74
182281,-78781,68
183485,-78574,60
188082,-78194,77
188716,-78298,80
193539,-78037,74
197084,-78446,64
198572,-78447,55
199598,-78823,70
200489,-78179,63
201287,-78953,78
201314,-78054,78
208361,-78625,73
210136,-78590,61
216477,-78458,65
216816,-78620,64
217474,-78157,77
217807,-78798,77
223199,-78849,77
223914,-78883,74
226341,-78167,76
229647,-78472,74
231368,-78449,80
232796,-78753,78
234293,-78878,76
234755,-78235,70
238469,-78159,80
239979,-78027,72
239980,-78028,69
245086,-78696,34
245112,-78668,48
248360,-78897,36
255887,-78080,77
258741,-78635,79
258827,-78399,74
265860,-78693,65
266616,-78277,79
270277,-78380,67
277258,-78609,76
280764,-78066,67
292196,-78886,78
297041,-78727,74
300882,-78831,79
300958,-78263,80
305673,-78961,66
306857,-78756,78
312059,-78951,79
323278,-78543,72
327528,-78222,74
328342,-78579,72
337462,-78213,62
338814,-78614,77
338862,-78772,57
346039,-78941,75
356171,-78791,54
358738,-78505,71
398,-77067,44
4773,-77989,78
5069,-77223,78
5370,-77427,55
6483,-77253,27
15655,-77551,67
16381,-77585,79
19760,-77031,78
26350,-77357,74
28526,-77491,75
28598,-77242,79
28970,-77578,76
43270,-77863,70
46152,-77166,78
46610,-77611,80
48993,-77388,54
51994,-77613,72
54211,-77090,79
66218,-77685,79
69590,-77656,57
76652,-77569,72
77611,-77217,75
87025,-77376,78
92610,-77106,68
92937,-77356,79
93802,-77052,79
97061,-77291,69
98510,-77688,65
99424,-77538,61
102782,-77674,75
103515,-77781,76
113363,-77083,72
114018,-77634,59
115091,-77955,80
116750,-77635,77
122811,-77097,75
125158,-77484,40
128948,-77001,66
131409,-77075,68
140848,-77889,69
141252,-77252,69
141717,-77686,72
147289,-77014,76
148891,-77288,66
159788,-77956,65
162733,-77125,78
168820,-77518,74
170485,-77608,64
175386,-77055,68
176150,-77817,79
176911,-77887,79
179646,-77825,67
186117,-77215,64
187642,-77065,76
195487,-77552,80
196535,-77108,79
200083,-77958,78
203299,-77570,64
206781,-77526,74
207791,-77865,76
210898,-77757,75
214230,-77664,60
218977,-77113,71
220498,-77012,63
221149,-77735,73
222875,-77176,64
224534,-77070,72
225047,-77161,56
229100,-77354,71
234825,-77919,59
237310,-77193,73
238870,-77732,71
241342,-77237,71
242049,-77289,74
242112,-77239,70
242314,-77468,77
245345,-77698,72
249165,-77346,72
250629,-77547,79
250764,-77519,39
253208,-77759,78
260466,-77193,65
266230,-77354,80
267414,-77238,80
269839,-77824,65
273898,-77073,76
275068,-77672,65
277146,-77367,66
281954,-77868,63
288288,-77864,62
288590,-77048,75
295435,-77575,71
296161,-77255,79
302121,-77092,78
303385,-77274,79
308132,-77295,78
316099,-77545,80
316180,-77025,50
325195,-77015,80
325370,-77391,35
328718,-77339,80
330469,-77663,63
334460,-77511,54
336880,-77718,76
338427,-77144,80
342423,-77051,67
343274,-77545,80
348898,-77895,79
350787,-77789,80
353332,-77385,57
1808,-76731,75
3365,-76741,77
9208,-76310,66
14338,-76554,71
16854,-76674,78
19838,-76149,75
24141,-76372,71
25247,-76243,79
32603,-76624,66
32798,-76298,78
33579,-76357,63
41636,-76193,71
44446,-76330,80
51153,-76747,68
56640,-76716,80
59302,-76511,77
71023,-76305,76
75484,-76629,75
77339,-76848,78
80681,-76615,80
82973,-76340,48
84132,-76016,78
87446,-76089,77
93843,-76201,75
94518,-76642,75
97653,-76201,75
101870,-76851,68
106928,-76049,72
118839,-76498,67
124634,-76919,39
125700,-76431,72
128061,-76928,74
129440,-76738,71
133956,-76249,80
134105,-76391,75
136544,-76566,75
136874,-76979,76
138052,-76663,58
141129,-76726,74
145939,-76767,78
146588,-76776,52
153120,-76078,78
155128,-76968,78
158268,-76039,77
158853,-76309,60
166490,-76130,76
170761,-76718,65
172981,-76303,80
176435,-76860,79
176810,-76618,54
177000,-76899,78
180124,-76976,80
181192,-76519,45
184936,-76801,67
186470,-76884,76
186851,-76756,77
189727,-76066,60
204240,-76508,77
204691,-76242,78
211331,-76797,31
211564,-76715,75
213626,-76458,78
214430,-76088,61
216733,-76519,71
217345,-76724,78
217404,-76729,57
217959,-76274,67
224469,-76663,48
231250,-76525,72
231697,-76691,80
235478,-76082,59
238223,-76149,76
240807,-76319,76
241800,-76256,71
242581,-76911,78
248074,-76511,80
255227,-76219,68
256828,-76224,67
260690,-76993,75
260776,-76352,79
267451,-76202,72
267732,-76059,69
267812,-76690,74
269424,-76178,57
274314,-76584,68
279723,-76500,77
280059,-76653,79
282459,-76296,80
285871,-76116,75
287684,-76405,67
297293,-76909,71
298222,-76179,80
300271,-76232,70
309536,-76893,74
310516,-76181,59
310809,-76548,75
314581,-76019,75
317198,-76213,62
321272,-76526,79
328796,-76941,64
329268,-76211,64
330766,-76119,58
332978,-76116,59
335983,-76853,79
337603,-76683,80
338619,-76039,78
346225,-76929,75
347690,-76463,67
351296,-76105,74
354601,-76870,58
358617,-76166,80
2981,-75477,69
3978,-75912,62
6896,-75614,80
9348,-75607,80
14891,-75815,79
21937,-75043,67
24409,-75430,79
29225,-75366,70
32723,-75959,65
36869,-75740,68
37521,-75784,78
38320,-75893,68
42618,-75067,43
47820,-75812,79
49422,-75802,78
50851,-75283,76
54667,-75762,73
57580,-75896,66
58388,-75310,75
63629,-75808,65
63859,-75991,78
66014,-75605,76
66153,-75693,78
71884,-75075,76
74575,-75277,79
78010,-75360,76
80305,-75917,78
81327,-75694,70
84361,-75450,80
85567,-75831,78
85671,-75250,70
92991,-75084,71
94779,-75225,79
94844,-75700,76
95333,-75128,80
104334,-75988,76
106116,-75231,72
107116,-75302,77
108879,-75864,76
109784,-75236,80
111548,-75590,73
113905,-75544,72
124685,-75015,78
126890,-75358,68
129461,-75067,79
135021,-75726,67
138404,-75590,77
140106,-75713,74
141379,-75773,76
143735,-75670,76
143980,-75292,75
147086,-75777,67
148461,-75380,80
155489,-75030,80
156662,-75149,78
158973,-75793,70
159757,-75157,67
160650,-75464,68
161385,-75008,76
162100,-75772,76
162876,-75883,66
163832,-75192,77
164316,-75100,56
165370,-75664,73
165694,-75594,79
166201,-75155,69
168451,-75790,76
169766,-75825,66
169902,-75142,63
174313,-75897,56
175477,-75118,76
175563,-75227,64
178350,-75854,76
181257,-75687,71
181788,-75787,75
181956,-75367,47
185830,-75504,74
186903,-75472,80
187283,-75619,74
187734,-75401,75
188208,-75435,77
189810,-75371,65
196413,-75284,79
197004,-75592,78
198606,-75171,64
200969,-75931,77
201511,-75690,74
204800,-75684,63
205414,-75115,68
213621,-75762,78
214860,-75179,77
216390,-75881,70
220471,-75140,66
220717,-75825,72
223666,-75602,69
224620,-75009,79
224982,-75033,62
226039,-75350,77
227538,-75462,67
228682,-75550,71
229967,-75329,76
230088,-75564,69
232004,-75930,68
240295,-75620,76
243114,-75293,78
245619,-75679,78
245672,-75904,74
245725,-75975,62
246785,-75907,75
247480,-75206,69
248287,-75950,76
249788,-75489,80
257361,-75064,71
257473,-75805,77
257568,-75376,74
257724,-75589,76
260536,-75349,69
264149,-75432,75
268262,-75022,79
268522,-75239,80
270799,-75689,78
272145,-75106,67
272642,-75188,77
272816,-75893,55
273429,-75551,71
275902,-75044,55
279542,-75812,76
284862,-75390,63
289093,-75800,66
292121,-75174,77
295749,-75397,79
304770,-75672,80
308778,-75167,78
310437,-75352,63
310443,-75347,70
310550,-75056,77
312416,-75834,76
319568,-75347,66
319946,-75846,77
320864,-75493,77
322689,-75203,74
327678,-75298,79
330531,-75679,62
332678,-75882,62
336464,-75016,60
341597,-75422,73
350155,-75633,72
2162,-74239,70
3518,-74912,65
11034,-74265,75
12150,-74924,46
13286,-74651,74
13751,-74302,64
24973,-74983,80
26658,-74738,71
29507,-74107,78
30108,-74617,76
30468,-74446,57
32824,-74501,69
36050,-74436,74
38529,-74023,75
40215,-74324,78
46248,-74320,64
47581,-74296,68
47870,-74665,72
47981,-74016,76
50346,-74594,80
52533,-74594,75
54420,-74823,68
55853,-74009,75
56655,-74508,79
56811,-74238,25
57049,-74694,70
73797,-74937,49
75290,-74341,74
75290,-74341,79
79565,-74698,69
81068,-74633,75
84169,-74716,77
90420,-74133,76
92562,-74754,49
103318,-74724,75
112801,-74691,75
112851,-74290,74
113840,-74275,71
113842,-74275,71
125908,-74166,80
126252,-74912,70
127936,-74855,64
129483,-74574,66
129653,-74074,65
130517,-74609,74
131004,-74302,79
131178,-74788,63
133500,-74885,70
135024,-74400,68
139355,-74894,56
139364,-74734,59
146499,-74116,76
147534,-74204,79
