Japanese Name,Proper Name,Designation,HIP,Bayer ID
アンタレス,Antares,HR 6134,80763,α Sco
ジュバ,Dschubba,HR 5953,78401,δ Sco
,Dìwö,WASP-17,0,
,Fang,HR 5944,78265,π Sco
,Fuyue,HR 6630,87261,G Sco
,Iklil,HR 5928,78104,ρ Sco
,Jabbah,HR 6027,79374,ν Sco
,Larawag,HR 6241,82396,ε Sco
,Lesath,HR 6508,85696,υ Sco
,Paikauhale,HR 6165,81266,τ Sco
,Pipirima,HR 6252,82545,μ2 Sco
,Rapeto,HD 153950,83547,
,Sargas,HR 6553,86228,θ Sco
,Sharjah,HIP 79431,79431,
シャウラ,Shaula,HR 6527,85927,λ Sco
,Xamidimura,HR 6247,82514,μ1 Sco
,Alasia,HD 168746,90004,_ Ser
,Alya,HR 7141,92946,θ1 Ser
,Gudja,HR 5879,77450,κ Ser
,Kaveh,HD 175541,92895,
,Unukalhai,HR 5854,77070,α Ser
,Bibhā,HD 86081,48711,
,Gnomon,WASP-43,,
,Sansuna,HAT-P-34,0,
,Sham,HR 7479,96757,α Sge
,Uruk,HD 231701,96078,
,Ainalrami,HR 7116,92761,ν1 Sgr
,Albaldah,HR 7264,94141,π Sgr
,Alnasl,HR 6746,88635,γ2 Sgr
,Arkab Posterior,HR 7343,95294,β2 Sgr
,Arkab Prior,HR 7337,95241,β1 Sgr
,Ascella,HR 7194,93506,ζ Sgr
,Belel,HD 181342,95124,
,Gumala,HD 179949,94645,V5652 Sgr
,Kaus Australis,HR 6879,90185,ε Sgr
,Kaus Borealis,HR 6913,90496,λ Sgr
,Kaus Media,HR 6859,89931,δ Sgr
,Nunki,HR 7121,92855,σ Sgr
,Pincoya,HD 164604,88414,
,Polis,HR 6812,89341,μ Sgr
,Rukbat,HR 7348,95347,α Sgr
,Sika,HD 181720,95262,
,Terebellum,HR 7597,98066,ω Sgr
,Ain,HR 1409,20889,ε Tau
,Alcyone,HR 1165,17702,η Tau
アルデバラン,Aldebaran,HR 1457,21421,α Tau
,Asterope,HR 1151,17579,21 Tau
,Atlas,HR 1178,17847,27 Tau
,Celaeno,HR 1140,17489,16 Tau
,Chamukuy,HR 1412,20894,θ2 Tau
,Electra,HR 1142,17499,17 Tau
,Elnath,HR 1791,25428,β Tau
,Hoggar,HD 28678,21109,
,Maia,HR 1149,17573,20 Tau
,Merope,HR 1156,17608,23 Tau
,Pleione,HR 1180,17851,28 Tau
,Prima Hyadum,HR 1346,20205,γ Tau
,Secunda Hyadum,HR 1373,20455,δ1 Tau
,Taygeta,HR 1145,17531,19 Tau
,Tianguan,HR 1910,26451,ζ Tau
,Atria,HR 6217,82273,α TrA
,Horna,HAT-P-38,0,
,Mothallah,HR 544,8796,α Tri
,Danfeng,L 168-9,,
,Emiw,HD 7199,5529,
,Lang-Exster,HR 8502,110130,α Tuc
,Poerava,HD 221287,116084,
アルコル,Alcor,HR 5062,65477,80 UMa
アリオト,Alioth,HR 4905,62956,ε UMa
アルカイド,Alkaid,HR 5191,67301,η UMa
,Alkaphrah,HR 3594,44471,κ UMa
,Alula Australis,HR 4375,55203,ξ UMa
,Alula Borealis,HR 4377,55219,ν UMa
,Aniara,HD 102956,57820,_ UMa
,Chalawan,HR 4277,53721,47 UMa
,Dofida,HD 117618,66047,
,Dombay,HAT-P-3,0,
ドゥベー,Dubhe,HR 4301,54061,α UMa
,Intercrus,HR 3743,46471,
,Liesma,HD 118203,66192,
,Mazalaai,HAT-P-21,0,
メグレズ,Megrez,HR 4660,59774,δ UMa
メラク,Merak,HR 4295,53910,β UMa
ミザール,Mizar,HR 5054,65378,ζ UMa
,Muscida,HR 3323,41704,ο UMa
,Násti,HD 68988,40687,
フェクダ,Phecda,HR 4554,58001,γ UMa
,Taiyangshou,HR 4518,57399,χ UMa
,Talitha,HR 3569,44127,ι UMa
,Tania Australis,HR 4069,50801,μ UMa
,Tania Borealis,HR 4033,50372,λ UMa
,Baekdu,HD 133086,73136,8 UMi
コカブ,Kochab,HR 5563,72607,β UMi
フェルカド,Pherkad,HR 5735,75097,γ UMi
ポラリス,Polaris,HR 424,11767,α UMi
,Yildun,HR 6789,85822,δ UMi
,Alsephina,HR 3485,42913,δ Vel
,Añañuca,GJ 367,,
,Kalausi,HD 83443,47202,
,Markeb,HR 3734,45941,κ Vel
,Natasha,HD 85390,48235,
,Suhail,HR 3634,44816,λ Vel
,Wattle,WASP-19,,
,Elgafar,HR 5409,70755,ϕ Vir
,Flegetonte,HD 102195,57370,
,Gar,GJ 486,,
,Guahayona,HAT-P-26,,
,Heze,HR 5107,66249,ζ Vir
,Kang,HR 5315,69427,κ Vir
,Khambalia,HR 5359,69974,λ Vir
,Lich,PSR B1257+12,0,
,Malmok,WASP-39,0,V732 Vir
,Minelauva,HR 4910,63090,δ Vir
,Mönch,HD 130322,72339,
,Porrima,HR 4825,61941,γ Vir
,Syrma,HR 5338,69701,ι Vir
,Vindemiatrix,HR 4932,63608,ε Vir
,Zaniah,HR 4689,60129,η Vir
,Zavijava,HR 4540,57757,β Vir
,Maru,WD 0806-661,,
,Anser,HR 7405,,α Vul
スピカ,Spica,HR 5056,65474,α Vir
