name,ra,dec,hip_number,vmag
HIP 60746 ,12 26 59.3041,+26 49 32.598,60746,4.98
HIP 60823 ,12 28 02.4116,-50 13 50.177,60823,3.91
HIP 60965 ,12 29 51.9832,-16 30 54.338,60965,2.94
HIP 61084 ,12 31 09.9293,-57 06 45.249,61084,1.59
HIP 61174 ,12 32 04.4848,-16 11 45.116,61174,4.3
HIP 61199 ,12 32 28.1110,-72 07 58.713,61199,3.84
HIP 61281 ,12 33 29.0425,+69 47 17.556,61281,3.85
HIP 61317 ,12 33 45.0925,+41 21 24.364,61317,4.24
HIP 61359 ,12 34 23.2341,-23 23 47.843,61359,2.65
HIP 61384 ,12 34 44.0653,+70 01 18.383,61384,4.95
HIP 61394 ,12 34 51.1178,+22 37 45.083,61394,4.8
HIP 61585 ,12 37 11.0837,-69 08 07.921,61585,2.69
HIP 61622 ,12 37 42.3278,-48 32 28.637,61622,3.85
HIP 61740 ,12 39 14.8125,-07 59 43.816,61740,4.66
HIP 61789 ,12 39 52.5614,-39 59 14.071,61789,4.63
HIP 61932 ,12 41 31.2050,-48 57 35.588,61932,2.2
HIP 61941 ,12 41 40.0021,-01 26 58.280,61941,2.74
HIP 61960 ,12 41 53.0076,+10 14 09.035,61960,4.88
HIP 61966 ,12 41 56.5968,-59 41 08.919,61966,4.91
HIP 62012 ,12 42 35.5611,-48 48 46.926,62012,4.66
HIP 62268 ,12 45 37.9162,-60 58 52.178,62268,4.69
HIP 62322 ,12 46 16.8696,-68 06 29.139,62322,3.04
HIP 62327 ,12 46 22.7495,-56 29 19.607,62327,4.62
HIP 62434 ,12 47 43.3189,-59 41 19.437,62434,1.25
HIP 62683 ,12 50 41.1870,-33 59 57.364,62683,4.9
HIP 62763 ,12 51 41.9278,+27 32 26.642,62763,4.93
HIP 62867 ,12 53 06.9766,-48 56 35.711,62867,4.33
HIP 62886 ,12 53 17.7708,+21 14 42.074,62886,4.89
HIP 62896 ,12 53 26.1460,-40 10 43.747,62896,4.25
HIP 62956 ,12 54 01.6330,+55 57 35.435,62956,1.76
HIP 62985 ,12 54 21.1741,-09 32 20.207,62985,4.77
HIP 63003 ,12 54 35.6576,-57 10 40.408,63003,4.03
HIP 63007 ,12 54 39.2200,-59 08 47.995,63007,4.62
HIP 63090 ,12 55 36.4833,+03 23 51.355,63090,3.39
HIP 63125 ,12 56 01.8409,+38 19 05.686,63125,2.89
HIP 63355 ,12 58 55.4659,+17 24 33.698,63355,4.76
HIP 63462 ,13 00 16.4855,+30 47 06.132,63462,4.88
HIP 63503 ,13 00 43.5858,+56 21 58.793,63503,4.93
HIP 63608 ,13 02 10.7605,+10 57 32.767,63608,2.85
HIP 63613 ,13 02 15.7775,-71 32 55.675,63613,3.61
HIP 63724 ,13 03 33.3479,-49 31 38.051,63724,4.83
HIP 63945 ,13 06 16.7304,-48 27 47.713,63945,4.71
HIP 64004 ,13 06 54.6630,-49 54 22.377,64004,4.27
HIP 64022 ,13 07 10.7079,+27 37 29.664,64022,4.8
HIP 64166 ,13 09 03.2830,-23 07 04.702,64166,4.94
HIP 64238 ,13 09 57.0120,-05 32 20.148,64238,4.38
HIP 64241 ,13 09 59.5494,+17 31 44.818,64241,4.32
HIP 64394 ,13 11 52.9227,+27 52 33.736,64394,4.23
HIP 64408 ,13 12 03.4668,-37 48 11.290,64408,4.85
HIP 64425 ,13 12 17.6293,-59 55 13.931,64425,4.58
HIP 64540 ,13 13 42.9815,+40 09 10.252,64540,4.94
HIP 64583 ,13 14 15.4281,-59 06 10.294,64583,4.9
HIP 64661 ,13 15 14.9978,-67 53 40.428,64661,4.79
HIP 64820 ,13 17 13.0350,-66 47 00.321,64820,4.86
HIP 64844 ,13 17 32.6371,+40 34 21.226,64844,4.72
HIP 64852 ,13 17 36.2869,+05 28 11.442,64852,4.78
HIP 64924 ,13 18 24.9720,-18 18 30.998,64924,4.74
HIP 64962 ,13 18 55.2534,-23 10 17.085,64962,2.99
HIP 65109 ,13 20 36.0656,-36 42 43.492,65109,2.75
HIP 65271 ,13 22 37.9798,-60 59 18.082,65271,4.52
HIP 65378 ,13 23 55.4198,+54 55 31.495,65378,2.23
HIP 65387 ,13 24 00.4434,-64 32 08.221,65387,4.52
HIP 65474 ,13 25 11.6046,-11 09 40.482,65474,0.98
HIP 65477 ,13 25 13.4156,+54 59 16.796,65477,3.99
HIP 65639 ,13 27 27.2381,-15 58 25.071,65639,4.76
HIP 65721 ,13 28 25.9504,+13 46 48.676,65721,4.97
HIP 65936 ,13 31 02.6685,-39 24 26.207,65936,3.9
HIP 66006 ,13 31 57.9460,-06 15 20.558,66006,4.68
HIP 66200 ,13 34 07.9053,+03 39 32.490,66200,4.92
HIP 66234 ,13 34 27.3735,+49 00 57.262,66234,4.68
HIP 66249 ,13 34 41.7547,-00 35 45.378,66249,3.38
HIP 66257 ,13 34 47.7463,+37 10 56.779,66257,4.91
HIP 66458 ,13 37 27.6969,+36 17 41.427,66458,4.82
HIP 66657 ,13 39 53.2727,-53 27 58.906,66657,2.29
HIP 66738 ,13 40 44.2925,+54 40 53.981,66738,4.63
HIP 66821 ,13 41 44.8148,-54 33 33.716,66821,4.99
HIP 67153 ,13 45 41.5666,-33 02 36.118,67153,4.23
HIP 67234 ,13 46 39.3684,-51 25 57.712,67234,4.64
HIP 67275 ,13 47 16.0366,+17 27 24.388,67275,4.5
HIP 67301 ,13 47 32.5461,+49 18 47.890,67301,1.85
HIP 67457 ,13 49 26.7513,-34 27 02.269,67457,4.19
HIP 67459 ,13 49 28.6979,+15 47 52.101,67459,4.05
HIP 67464 ,13 49 30.2974,-41 41 15.575,67464,3.41
HIP 67472 ,13 49 37.0078,-42 28 25.266,67472,3.47
HIP 67480 ,13 49 42.8199,+21 15 50.631,67480,4.92
HIP 67494 ,13 49 52.3445,-18 08 02.674,67494,4.96
HIP 67627 ,13 51 25.9376,+64 43 23.818,67627,4.58
HIP 67665 ,13 51 47.4895,+34 26 39.544,67665,4.76
HIP 67669 ,13 51 49.6252,-32 59 38.459,67669,4.32
HIP 67786 ,13 53 12.5483,-31 55 39.310,67786,4.75
HIP 67927 ,13 54 41.1162,+18 23 54.915,67927,2.68
HIP 68002 ,13 55 32.4349,-47 17 17.759,68002,2.55
HIP 68191 ,13 57 38.9368,-63 41 11.818,68191,4.71
HIP 68245 ,13 58 16.2847,-42 06 02.539,68245,3.83
HIP 68282 ,13 58 40.7714,-44 48 12.713,68282,3.87
HIP 68520 ,14 01 38.7832,+01 32 40.500,68520,4.23
HIP 68523 ,14 01 43.4920,-45 36 12.132,68523,4.34
HIP 68702 ,14 03 49.4446,-60 22 22.722,68702,0.61
HIP 68756 ,14 04 23.4260,+64 22 32.911,68756,3.67
HIP 68862 ,14 06 02.7860,-41 10 46.489,68862,4.36
HIP 68895 ,14 06 22.2690,-26 40 55.268,68895,3.25
HIP 68933 ,14 06 41.3247,-36 22 07.305,68933,2.06
HIP 69112 ,14 08 51.0090,+77 32 50.759,69112,4.8
HIP 69191 ,14 09 54.9566,-53 26 19.413,69191,4.74
HIP 69226 ,14 10 23.9485,+25 05 30.563,69226,4.82
HIP 69269 ,14 10 50.4835,-16 18 07.213,69269,4.93
HIP 69389 ,14 12 15.8304,+02 24 34.186,69389,4.99
HIP 69427 ,14 12 53.7410,-10 16 26.558,69427,4.18
HIP 69483 ,14 13 28.9499,+51 47 23.966,69483,4.53
HIP 69673 ,14 15 40.3474,+19 11 14.172,69673,-0.05
HIP 69701 ,14 16 00.8849,-05 59 58.294,69701,4.07
HIP 69713 ,14 16 10.0695,+51 22 01.250,69713,4.75
HIP 69732 ,14 16 23.1764,+46 05 16.508,69732,4.18
HIP 69879 ,14 17 59.8161,+35 30 34.095,69879,4.8
HIP 69896 ,14 18 13.9705,-81 00 27.365,69896,4.89
HIP 69974 ,14 19 06.6019,-13 22 16.199,69974,4.52
HIP 69996 ,14 19 24.2327,-46 03 29.102,69996,3.55
HIP 70027 ,14 19 45.3208,+16 18 24.484,70027,4.84
HIP 70069 ,14 20 19.5527,-56 23 11.325,70069,4.3
HIP 70090 ,14 20 33.4793,-37 53 06.962,70090,4.05
HIP 70104 ,14 20 42.5510,-45 11 12.773,70104,4.78
HIP 70264 ,14 22 37.1220,-58 27 32.970,70264,4.76
HIP 70300 ,14 23 02.2573,-39 30 42.358,70300,4.41
HIP 70306 ,14 23 05.9078,-27 45 13.442,70306,4.78
HIP 70327 ,14 23 22.7401,+08 26 47.905,70327,4.86
HIP 70497 ,14 25 12.0194,+51 51 06.169,70497,4.04
HIP 70574 ,14 26 08.2351,-45 13 17.004,70574,4.56
HIP 70576 ,14 26 10.8016,-45 22 45.339,70576,4.33
HIP 70638 ,14 26 55.7408,-83 40 04.271,70638,4.31
HIP 70692 ,14 27 31.5225,+75 41 45.381,70692,4.25
HIP 70753 ,14 28 10.4433,-29 29 29.687,70753,4.97
HIP 70755 ,14 28 12.2203,-02 13 40.620,70755,4.81
HIP 71053 ,14 31 49.8578,+30 22 16.122,71053,3.57
HIP 71075 ,14 32 04.7578,+38 18 28.381,71075,3.04
HIP 71121 ,14 32 37.0835,-50 27 25.637,71121,4.44
HIP 71284 ,14 34 40.6905,+29 44 41.306,71284,4.47
HIP 71352 ,14 35 30.4516,-42 09 27.884,71352,2.33
HIP 71536 ,14 37 53.2511,-49 25 32.728,71536,4.05
HIP 71681 ,14 39 39.3908,-60 50 22.097,71681,1.35
HIP 71683 ,14 39 40.8985,-60 50 06.529,71683,-0.01
HIP 71762 ,14 40 43.5610,+16 25 05.885,71762,4.49
HIP 71795 ,14 41 08.9204,+13 43 41.992,71795,3.78
HIP 71832 ,14 41 38.7565,+08 09 42.322,71832,4.86
HIP 71860 ,14 41 55.7738,-47 23 17.309,71860,2.3
HIP 71865 ,14 41 57.6128,-37 47 36.326,71865,4.01
HIP 71908 ,14 42 30.6850,-64 58 28.450,71908,3.18
HIP 71957 ,14 43 03.5623,-05 39 26.745,71957,3.87
HIP 71995 ,14 43 25.3719,+26 31 40.407,71995,4.8
HIP 72010 ,14 43 39.4835,-35 10 23.612,72010,4.06
HIP 72104 ,14 44 59.1951,-35 11 30.554,72104,4.92
HIP 72105 ,14 44 59.2509,+27 04 27.026,72105,2.35
HIP 72125 ,14 45 14.4972,+16 57 51.851,72125,4.6
HIP 72220 ,14 46 14.9918,+01 53 34.578,72220,3.73
HIP 72370 ,14 47 51.7262,-79 02 40.965,72370,3.83
HIP 72571 ,14 50 17.4667,-27 57 36.789,72571,4.42
HIP 72607 ,14 50 42.3954,+74 09 19.713,72607,2.07
HIP 72622 ,14 50 52.7773,-16 02 29.798,72622,2.75
HIP 72631 ,14 51 01.0201,-02 17 55.860,72631,4.93
HIP 72659 ,14 51 23.2842,+19 06 02.280,72659,4.54
HIP 72683 ,14 51 38.3233,-43 34 31.058,72683,4.32
HIP 73165 ,14 57 11.0568,-04 20 45.911,73165,4.47
HIP 73199 ,14 57 35.1191,+65 55 56.573,73199,4.63
HIP 73273 ,14 58 31.9541,-43 08 01.921,73273,2.68
HIP 73334 ,14 59 09.6990,-42 06 14.911,73334,3.13
HIP 73473 ,15 00 58.3877,-08 31 08.166,73473,4.91
HIP 73555 ,15 01 56.7931,+40 23 26.292,73555,3.49
HIP 73568 ,15 02 06.5121,+25 00 29.723,73568,4.8
HIP 73620 ,15 02 54.0700,+02 05 28.577,73620,4.39
HIP 73695 ,15 03 47.6818,+47 39 14.451,73695,4.83
HIP 73714 ,15 04 04.2619,-25 16 54.682,73714,3.25
HIP 73745 ,15 04 26.8571,+26 56 51.575,73745,4.52
HIP 73807 ,15 05 07.1057,-47 03 04.298,73807,3.91
HIP 73996 ,15 07 17.9471,+24 52 10.535,73996,4.93
HIP 74117 ,15 08 50.6296,-45 16 47.259,74117,4.07
HIP 74376 ,15 11 56.1610,-48 44 15.728,74376,3.88
HIP 74392 ,15 12 13.3122,-19 47 29.873,74392,4.54
HIP 74395 ,15 12 17.2032,-52 05 56.669,74395,3.41
HIP 74449 ,15 12 49.6047,-44 30 01.295,74449,4.83
HIP 74604 ,15 14 37.3259,-31 31 08.852,74604,4.91
HIP 74666 ,15 15 30.1038,+33 18 54.368,74666,3.46
HIP 74785 ,15 17 00.4718,-09 22 58.321,74785,2.61
HIP 74824 ,15 17 30.9602,-58 48 03.164,74824,4.07
HIP 74837 ,15 17 38.8878,-63 36 37.752,74837,4.85
HIP 74857 ,15 17 49.8449,-30 08 55.184,74857,4.35
HIP 74911 ,15 18 32.0486,-47 52 30.691,74911,4.27
HIP 74946 ,15 18 54.6888,-68 40 46.082,74946,2.87
HIP 75097 ,15 20 43.7492,+71 50 02.303,75097,3
HIP 75141 ,15 21 22.3364,-40 38 50.854,75141,3.22
HIP 75177 ,15 21 48.4365,-36 15 40.202,75177,3.57
HIP 75206 ,15 22 08.3941,-47 55 38.891,75206,4.99
HIP 75264 ,15 22 40.8875,-44 41 22.463,75264,3.37
HIP 75304 ,15 23 09.3633,-36 51 30.371,75304,4.54
HIP 75312 ,15 23 12.2263,+30 17 17.668,75312,4.99
HIP 75323 ,15 23 22.6578,-59 19 14.514,75323,4.48
HIP 75379 ,15 24 11.9301,-10 19 18.821,75379,4.92
HIP 75411 ,15 24 29.5362,+37 22 37.059,75411,4.31
HIP 75458 ,15 24 55.7841,+58 57 57.685,75458,3.29
HIP 75501 ,15 25 20.2524,-38 44 00.917,75501,4.6
HIP 75695 ,15 27 49.8519,+29 06 19.770,75695,3.66
HIP 76041 ,15 31 46.9923,+40 53 57.728,76041,4.98
HIP 76127 ,15 32 55.7959,+31 21 32.959,76127,4.14
HIP 76219 ,15 34 10.5197,-10 03 50.255,76219,4.61
HIP 76267 ,15 34 41.1895,+26 42 53.677,76267,2.22
HIP 76276 ,15 34 48.1902,+10 32 19.893,76276,3.8
HIP 76297 ,15 35 08.4604,-41 10 00.102,76297,2.8
HIP 76333 ,15 35 31.5394,-14 47 22.393,76333,3.91
HIP 76371 ,15 35 53.2650,-44 57 30.013,76371,4.55
HIP 76440 ,15 36 43.1869,-66 19 00.857,76440,4.11
HIP 76470 ,15 37 01.4586,-28 08 06.256,76470,3.6
HIP 76552 ,15 38 03.3223,-42 34 02.946,76552,4.34
HIP 76600 ,15 38 39.3844,-29 46 39.682,76600,3.66
HIP 76669 ,15 39 22.6838,+36 38 08.979,76669,4.64
HIP 76705 ,15 39 45.9749,-34 24 42.814,76705,4.66
HIP 76742 ,15 40 16.9053,-23 49 05.010,76742,4.97
HIP 76829 ,15 41 11.5157,-44 39 38.013,76829,4.64
HIP 76852 ,15 41 33.0923,+19 40 13.820,76852,4.51
HIP 76880 ,15 41 56.8187,-19 40 42.868,76880,4.75
HIP 76945 ,15 42 41.0371,-34 42 37.200,76945,4.75
HIP 76952 ,15 42 44.6382,+26 17 43.851,76952,3.81
HIP 77055 ,15 44 03.4639,+77 47 40.196,77055,4.29
HIP 77070 ,15 44 15.9958,+06 25 31.871,77070,2.63
HIP 77233 ,15 46 11.2149,+15 25 18.934,77233,3.65
HIP 77257 ,15 46 26.7459,+07 21 11.663,77257,4.42
HIP 77450 ,15 48 44.4086,+18 08 30.405,77450,4.09
HIP 77512 ,15 49 35.6980,+26 04 06.778,77512,4.59
HIP 77516 ,15 49 37.2657,-03 25 48.508,77516,3.54
HIP 77622 ,15 50 48.8912,+04 28 39.287,77622,3.71
HIP 77634 ,15 50 57.5418,-33 37 37.578,77634,3.97
HIP 77635 ,15 50 58.7536,-25 45 04.446,77635,4.63
HIP 77655 ,15 51 13.9374,+35 39 29.615,77655,4.79
HIP 77661 ,15 51 15.9431,+20 58 40.352,77661,4.74
HIP 77760 ,15 52 40.1944,+42 26 59.957,77760,4.6
HIP 77840 ,15 53 36.7284,-25 19 37.489,77840,4.59
HIP 77853 ,15 53 49.4771,-16 43 46.640,77853,4.13
HIP 77952 ,15 55 08.8080,-63 25 47.099,77952,2.83
HIP 78072 ,15 56 26.9942,+15 39 53.040,78072,3.85
HIP 78104 ,15 56 53.0867,-29 12 50.444,78104,3.87
HIP 78159 ,15 57 35.3019,+26 52 40.895,78159,4.14
HIP 78180 ,15 57 47.5929,+54 44 58.213,78180,4.96
HIP 78207 ,15 58 11.3763,-14 16 45.544,78207,4.95
HIP 78265 ,15 58 51.1207,-26 06 50.554,78265,2.89
HIP 78323 ,15 59 30.2958,-41 44 39.826,78323,4.99
HIP 78384 ,16 00 07.3405,-38 23 47.907,78384,3.42
HIP 78401 ,16 00 20.0117,-22 37 17.833,78401,2.29
HIP 78493 ,16 01 26.5906,+29 51 03.882,78493,4.98
HIP 78527 ,16 01 53.7037,+58 33 51.975,78527,4.01
HIP 78554 ,16 02 17.6891,+22 48 15.824,78554,4.82
HIP 78592 ,16 02 47.8511,+46 02 12.674,78592,4.72
HIP 78639 ,16 03 12.8602,-49 13 46.995,78639,4.65
HIP 78650 ,16 03 20.6670,-25 51 54.536,78650,4.96
HIP 78655 ,16 03 24.2026,-38 36 08.896,78655,4.9
HIP 78662 ,16 03 32.2210,-57 46 29.545,78662,4.63
HIP 78727 ,16 04 21.6300,-11 22 24.800,78727,4.16
HIP 78820 ,16 05 26.2349,-19 48 19.414,78820,2.56
HIP 78821 ,16 05 26.5752,-19 48 06.631,78821,4.9
HIP 78914 ,16 06 29.4236,-45 10 23.791,78914,4.73
HIP 78918 ,16 06 35.5563,-36 48 07.967,78918,4.22
HIP 78933 ,16 06 48.4325,-20 40 08.885,78933,3.93
HIP 78990 ,16 07 24.3001,-20 52 07.155,78990,4.31
HIP 79101 ,16 08 46.1993,+44 56 05.348,79101,4.23
HIP 79119 ,16 08 58.3286,+36 29 24.394,79119,4.73
HIP 79374 ,16 11 59.7405,-19 27 38.329,79374,4
HIP 79375 ,16 12 00.0016,-10 03 51.067,79375,4.93
HIP 79404 ,16 12 18.2117,-27 55 34.736,79404,4.58
HIP 79509 ,16 13 28.7343,-54 37 49.486,79509,4.95
HIP 79593 ,16 14 20.7662,-03 41 38.312,79593,2.73
HIP 79664 ,16 15 26.2661,-63 41 08.336,79664,3.86
HIP 79790 ,16 17 00.9355,-50 04 05.204,79790,4.97
HIP 79822 ,16 17 30.5010,+75 45 16.934,79822,4.95
HIP 79881 ,16 18 17.9209,-28 36 49.594,79881,4.8
HIP 79882 ,16 18 19.2408,-04 41 33.389,79882,3.23
HIP 79992 ,16 19 44.4479,+46 18 47.775,79992,3.91
HIP 80000 ,16 19 50.5676,-50 09 19.365,80000,4.01
HIP 80047 ,16 20 20.8351,-78 41 44.362,80047,4.68
HIP 80079 ,16 20 38.1834,-24 10 09.423,80079,4.55
HIP 80112 ,16 21 11.3225,-25 35 33.909,80112,2.9
HIP 80170 ,16 21 55.2437,+19 09 10.879,80170,3.74
HIP 80179 ,16 22 04.4400,+01 01 44.120,80179,4.82
HIP 80181 ,16 22 05.8901,+30 53 30.243,80181,4.86
HIP 80331 ,16 23 59.5069,+61 30 50.671,80331,2.73
HIP 80343 ,16 24 06.1973,-20 02 13.961,80343,4.48
HIP 80463 ,16 25 24.9296,+14 02 00.295,80463,4.57
HIP 80473 ,16 25 35.1211,-23 26 49.624,80473,4.57
HIP 80569 ,16 27 01.4383,-18 27 22.309,80569,4.22
HIP 80582 ,16 27 11.0478,-47 33 17.049,80582,4.46
HIP 80628 ,16 27 48.2270,-08 22 18.122,80628,4.62
HIP 80650 ,16 27 59.0532,+68 46 04.998,80650,4.94
HIP 80686 ,16 28 27.8012,-70 05 04.812,80686,4.9
HIP 80704 ,16 28 38.5249,+41 52 54.086,80704,4.83
HIP 80763 ,16 29 24.4675,-26 25 55.006,80763,1.06
HIP 80815 ,16 30 12.4779,-25 06 54.574,80815,4.79
HIP 80816 ,16 30 13.2617,+21 29 22.735,80816,2.78
HIP 80883 ,16 30 54.8412,+01 59 02.762,80883,3.82
HIP 80894 ,16 31 08.3949,-16 36 45.505,80894,4.29
HIP 80911 ,16 31 22.9415,-34 42 15.555,80911,4.24
HIP 80975 ,16 32 08.1866,-21 27 59.320,80975,4.45
HIP 81008 ,16 32 36.3983,+11 29 17.642,81008,4.84
HIP 81065 ,16 33 27.4642,-78 53 49.053,81065,3.86
HIP 81122 ,16 34 05.0203,-44 02 43.111,81122,4.86
HIP 81126 ,16 34 06.1893,+42 26 12.824,81126,4.2
HIP 81266 ,16 35 52.9594,-28 12 57.462,81266,2.82
HIP 81304 ,16 36 22.4609,-35 15 19.280,81304,4.18
HIP 81377 ,16 37 09.5300,-10 34 01.746,81377,2.54
HIP 81497 ,16 38 44.8880,+48 55 41.799,81497,4.86
HIP 81660 ,16 40 55.1194,+64 35 20.708,81660,4.84
HIP 81693 ,16 41 17.4771,+31 36 06.793,81693,2.81
HIP 81724 ,16 41 34.3963,-17 44 31.793,81724,4.91
HIP 81833 ,16 42 53.7386,+38 55 20.860,81833,3.48
HIP 81852 ,16 43 05.4196,-77 30 59.659,81852,4.23
HIP 82020 ,16 45 17.7897,+56 46 54.074,82020,4.84
HIP 82080 ,16 45 58.1615,+82 02 14.103,82080,4.21
HIP 82273 ,16 48 39.8658,-69 01 39.486,82273,1.91
HIP 82321 ,16 49 14.1993,+45 59 00.412,82321,4.82
HIP 82363 ,16 49 47.1114,-59 02 28.739,82363,3.77
HIP 82369 ,16 49 49.9731,-10 46 58.082,82369,4.64
HIP 82396 ,16 50 10.2450,-34 17 33.395,82396,2.29
HIP 82514 ,16 51 52.2389,-38 02 50.378,82514,3
HIP 82545 ,16 52 20.1535,-38 01 02.920,82545,3.56
HIP 82671 ,16 53 59.7273,-42 21 43.271,82671,4.7
HIP 82673 ,16 54 00.5034,+10 09 55.596,82673,4.39
HIP 82729 ,16 54 35.1052,-42 21 38.733,82729,3.62
HIP 82860 ,16 56 01.3595,+65 08 04.819,82860,4.88
HIP 83000 ,16 57 40.2706,+09 22 30.203,83000,3.19
HIP 83081 ,16 58 37.2308,-55 59 24.198,83081,3.12
HIP 83153 ,16 59 35.0467,-53 09 37.764,83153,4.06
HIP 83207 ,17 00 17.4062,+30 55 34.821,83207,3.92
HIP 83262 ,17 01 03.6255,-04 13 20.835,83262,4.82
HIP 83430 ,17 03 07.8560,+14 05 31.561,83430,4.97
HIP 83574 ,17 04 49.3511,-34 07 22.521,83574,4.83
HIP 83608 ,17 05 20.1823,+54 28 11.507,83608,4.91
HIP 83613 ,17 05 22.6602,+12 44 27.077,83613,4.89
HIP 83895 ,17 08 47.2251,+65 42 52.692,83895,3.17
HIP 84012 ,17 10 22.6624,-15 43 30.531,84012,2.43
HIP 84143 ,17 12 09.1759,-43 14 18.565,84143,3.32
HIP 84345 ,17 14 38.8624,+14 23 24.911,84345,2.78
HIP 84379 ,17 15 01.9242,+24 50 22.515,84379,3.12
HIP 84380 ,17 15 02.8543,+36 48 32.959,84380,3.16
HIP 84405 ,17 15 21.2873,-26 36 00.176,84405,4.33
HIP 84514 ,17 16 36.7056,-00 26 42.511,84514,4.72
HIP 84573 ,17 17 19.5705,+33 06 00.411,84573,4.8
HIP 84606 ,17 17 40.2859,+37 17 28.836,84606,4.64
HIP 84880 ,17 20 49.6356,-12 50 48.775,84880,4.32
HIP 84893 ,17 21 00.2103,-21 06 44.766,84893,4.39
HIP 84969 ,17 21 59.5348,-67 46 14.339,84969,4.76
HIP 84970 ,17 22 00.5841,-24 59 58.157,84970,3.27
HIP 85112 ,17 23 40.9729,+37 08 45.326,85112,4.15
HIP 85258 ,17 25 17.9972,-55 31 47.366,85258,2.84
HIP 85267 ,17 25 23.6599,-56 22 39.678,85267,3.31
HIP 85340 ,17 26 22.2174,-24 10 30.084,85340,4.16
HIP 85355 ,17 26 30.8796,+04 08 25.233,85355,4.34
HIP 85365 ,17 26 37.9351,-05 05 11.371,85365,4.53
HIP 85423 ,17 27 21.2640,-29 52 00.118,85423,4.28
HIP 85670 ,17 30 25.9769,+52 18 04.892,85670,2.79
HIP 85693 ,17 30 44.2980,+26 06 38.176,85693,4.41
HIP 85696 ,17 30 45.8388,-37 17 44.665,85696,2.7
HIP 85727 ,17 31 05.9769,-60 41 00.984,85727,3.6
HIP 85755 ,17 31 24.9509,-23 57 45.289,85755,4.78
HIP 85792 ,17 31 50.5216,-49 52 33.534,85792,2.84
HIP 85819 ,17 32 10.4180,+55 11 02.799,85819,4.89
HIP 85822 ,17 32 12.8972,+86 35 10.785,85822,4.35
HIP 85829 ,17 32 15.8790,+55 10 22.104,85829,4.86
HIP 85927 ,17 33 36.5265,-37 06 13.494,85927,1.62
HIP 86032 ,17 34 56.0048,+12 33 38.073,86032,2.08
HIP 86092 ,17 35 39.6113,-46 30 20.127,86092,4.56
HIP 86170 ,17 36 32.8468,-38 38 05.515,86170,4.26
HIP 86201 ,17 36 57.0899,+68 45 25.882,86201,4.77
HIP 86228 ,17 37 19.1258,-42 59 52.158,86228,1.86
HIP 86263 ,17 37 35.2252,-15 23 54.270,86263,3.54
HIP 86284 ,17 37 50.7198,-08 07 07.397,86284,4.58
HIP 86414 ,17 39 27.8924,+46 00 22.760,86414,3.82
HIP 86486 ,17 40 23.7323,-49 24 54.557,86486,4.76
HIP 86565 ,17 41 24.9165,-12 52 30.622,86565,4.24
HIP 86614 ,17 41 56.3070,+72 08 58.197,86614,4.57
HIP 86670 ,17 42 29.2798,-39 01 47.715,86670,2.39
HIP 86736 ,17 43 25.8550,-21 40 59.108,86736,4.86
HIP 86742 ,17 43 28.3769,+04 34 00.901,86742,2.76
HIP 86929 ,17 45 44.0024,-64 43 25.444,86929,3.61
HIP 86974 ,17 46 27.7189,+27 43 20.997,86974,3.42
HIP 87072 ,17 47 33.6271,-27 49 50.745,87072,4.53
HIP 87073 ,17 47 35.0811,-40 07 37.135,87073,2.99
HIP 87108 ,17 47 53.5740,+02 42 26.851,87108,3.75
HIP 87220 ,17 49 10.4733,-31 42 11.464,87220,4.79
HIP 87261 ,17 49 51.4512,-37 02 36.136,87261,3.19
HIP 87294 ,17 50 11.1100,-40 05 25.542,87294,4.78
HIP 87585 ,17 53 31.6295,+56 52 20.828,87585,3.73
HIP 87808 ,17 56 15.1785,+37 15 01.878,87808,3.86
HIP 87833 ,17 56 36.3779,+51 29 20.224,87833,2.24
HIP 87846 ,17 56 47.4256,-44 20 31.915,87846,4.85
HIP 87933 ,17 57 45.8307,+29 14 52.531,87933,3.7
HIP 87936 ,17 57 47.8065,-41 42 58.530,87936,4.88
HIP 87998 ,17 58 30.1497,+30 11 21.368,87998,4.41
HIP 88048 ,17 59 01.5976,-09 46 24.059,88048,3.32
HIP 88116 ,17 59 47.5567,-23 48 57.641,88116,4.74
HIP 88128 ,18 00 03.4207,+16 45 03.401,88128,4.67
HIP 88149 ,18 00 15.7976,+04 22 07.128,88149,4.79
HIP 88175 ,18 00 28.9204,-03 41 24.580,88175,4.62
HIP 88192 ,18 00 38.7155,+02 55 53.715,88192,3.93
HIP 88267 ,18 01 30.4029,+21 35 44.477,88267,4.26
HIP 88290 ,18 01 45.1895,+01 18 18.394,88290,4.42
HIP 88404 ,18 03 04.9107,-08 10 48.928,88404,4.77
HIP 88567 ,18 05 01.2225,-29 34 48.274,88567,4.66
HIP 88601 ,18 05 27.2128,+02 30 08.781,88601,4.03
HIP 88635 ,18 05 48.5246,-30 25 25.140,88635,2.98
HIP 88657 ,18 06 01.9087,+22 13 08.011,88657,4.96
HIP 88714 ,18 06 37.8788,-50 05 29.237,88714,3.65
HIP 88726 ,18 06 49.8845,-43 25 29.862,88726,4.92
HIP 88765 ,18 07 18.3543,+08 44 01.657,88765,4.64
HIP 88771 ,18 07 21.0207,+09 33 49.152,88771,3.71
HIP 88794 ,18 07 32.5508,+28 45 44.893,88794,3.84
HIP 88839 ,18 08 04.9630,-28 27 25.259,88839,4.55
HIP 88866 ,18 08 34.7908,-63 40 04.974,88866,4.33
