name,ra,dec,hip_number,vmag
HIP 17351 ,03 42 50.1220,-37 18 48.041,17351,4.59
HIP 17358 ,03 42 55.4821,+47 47 15.552,17358,3.01
HIP 17378 ,03 43 14.9561,-09 45 54.715,17378,3.52
HIP 17440 ,03 44 11.5549,-64 48 25.538,17440,3.84
HIP 17448 ,03 44 19.1264,+32 17 17.784,17448,3.84
HIP 17499 ,03 44 52.5235,+24 06 48.414,17499,3.72
HIP 17529 ,03 45 11.6434,+42 34 42.760,17529,3.77
HIP 17531 ,03 45 12.4821,+24 28 02.564,17531,4.3
HIP 17573 ,03 45 49.5931,+24 22 04.289,17573,3.87
HIP 17587 ,03 46 02.3326,+63 20 42.244,17587,4.78
HIP 17593 ,03 46 08.5024,-12 06 06.247,17593,4.43
HIP 17608 ,03 46 19.5603,+23 56 54.463,17608,4.14
HIP 17651 ,03 46 50.9890,-23 14 54.377,17651,4.22
HIP 17678 ,03 47 14.2315,-74 14 21.273,17678,3.26
HIP 17702 ,03 47 29.0642,+24 06 18.871,17702,2.85
HIP 17797 ,03 48 35.8229,-37 37 12.464,17797,4.3
HIP 17847 ,03 49 09.7312,+24 03 12.687,17847,3.62
HIP 17874 ,03 49 27.2809,-36 12 00.405,17874,4.17
HIP 17884 ,03 49 31.2854,+65 31 33.623,17884,4.39
HIP 17959 ,03 50 21.4758,+71 19 56.524,17959,4.59
HIP 18216 ,03 53 42.6830,-24 36 43.965,18216,4.64
HIP 18246 ,03 54 07.9185,+31 53 01.168,18246,2.84
HIP 18255 ,03 54 17.4866,-02 57 17.041,18255,4.46
HIP 18488 ,03 57 08.2927,+61 06 32.101,18488,4.99
HIP 18505 ,03 57 25.4355,+63 04 20.098,18505,4.95
HIP 18532 ,03 57 51.2211,+40 00 36.983,18532,2.9
HIP 18543 ,03 58 01.7301,-13 30 29.681,18543,2.97
HIP 18597 ,03 58 44.7375,-61 24 00.542,18597,4.56
HIP 18614 ,03 58 57.8997,+35 47 27.697,18614,3.98
HIP 18673 ,03 59 55.4761,-24 00 58.524,18673,4.62
HIP 18724 ,04 00 40.8206,+12 29 25.353,18724,3.41
HIP 18744 ,04 00 53.8050,-62 09 33.729,18744,4.48
HIP 18772 ,04 01 18.0711,-61 04 44.585,18772,4.97
HIP 18907 ,04 03 09.3768,+05 59 21.513,18907,3.91
HIP 19038 ,04 04 41.6579,+22 04 55.444,19038,4.36
HIP 19167 ,04 06 35.0553,+50 21 04.861,19167,4.25
HIP 19343 ,04 08 39.6733,+47 42 45.337,19343,3.96
HIP 19515 ,04 10 50.4330,-41 59 37.468,19515,4.93
HIP 19587 ,04 11 51.9332,-06 50 16.003,19587,4.04
HIP 19740 ,04 13 56.3909,+09 15 50.034,19740,4.84
HIP 19747 ,04 14 00.0813,-42 17 37.943,19747,3.85
HIP 19777 ,04 14 23.6932,-10 15 21.200,19777,4.87
HIP 19780 ,04 14 25.4311,-62 28 26.324,19780,3.33
HIP 19811 ,04 14 53.3102,+40 29 01.406,19811,4.67
HIP 19812 ,04 14 53.8577,+48 24 33.743,19812,4.12
HIP 19849 ,04 15 17.6382,-07 38 40.410,19849,4.43
HIP 19860 ,04 15 32.0452,+08 53 32.676,19860,4.27
HIP 19893 ,04 16 01.4914,-51 29 13.545,19893,4.26
HIP 19921 ,04 16 29.0835,-59 18 06.294,19921,4.44
HIP 19990 ,04 17 15.6862,+20 34 43.465,19990,4.93
HIP 20042 ,04 17 53.6186,-33 47 53.993,20042,3.55
HIP 20070 ,04 18 14.5755,+50 17 44.302,20070,4.6
HIP 20205 ,04 19 47.5339,+15 37 39.721,20205,3.65
HIP 20250 ,04 20 21.2348,+27 21 03.386,20250,4.97
HIP 20252 ,04 20 24.6560,+34 34 00.272,20252,4.93
HIP 20354 ,04 21 33.1487,+46 29 56.266,20354,4.8
HIP 20455 ,04 22 56.0273,+17 32 33.303,20455,3.77
HIP 20535 ,04 24 02.1654,-34 01 01.151,20535,3.97
HIP 20542 ,04 24 05.6938,+17 26 39.162,20542,4.8
HIP 20635 ,04 25 22.0988,+22 17 38.332,20635,4.21
HIP 20648 ,04 25 29.3174,+17 55 40.761,20648,4.3
HIP 20711 ,04 26 18.3948,+22 48 49.298,20711,4.28
HIP 20713 ,04 26 20.6717,+15 37 06.046,20713,4.48
HIP 20732 ,04 26 36.3768,+14 42 49.888,20732,4.69
HIP 20877 ,04 28 26.3651,+16 21 34.664,20877,4.96
HIP 20885 ,04 28 34.4323,+15 57 43.982,20885,3.84
HIP 20889 ,04 28 36.9333,+19 10 49.875,20889,3.53
HIP 20894 ,04 28 39.6749,+15 52 15.408,20894,3.4
HIP 21029 ,04 30 33.5691,+16 11 38.672,21029,4.78
HIP 21139 ,04 31 52.6695,-00 02 38.368,21139,4.91
