ra,dec,phot_g_mean_mag
214947,-81892,89
218646,-81968,88
220020,-81443,89
220540,-81462,81
221873,-81217,90
223192,-81827,87
223325,-81851,82
224487,-81204,87
225147,-81220,89
228243,-81611,88
230507,-81763,90
230940,-81242,82
232927,-81303,89
234033,-81725,81
243769,-81938,87
246944,-81533,83
248154,-81340,88
253262,-81595,82
255503,-81435,86
256337,-81156,88
257293,-81323,85
259404,-81177,87
259441,-81421,84
259499,-81553,87
261445,-81797,87
263529,-81284,86
267098,-81896,85
267116,-81895,89
273375,-81666,85
274342,-81313,87
274858,-81146,83
277727,-81759,82
282347,-81271,82
284850,-81422,89
289140,-81853,88
290160,-81231,89
290915,-81456,90
290932,-81382,84
290945,-81541,86
294067,-81247,83
297648,-81274,86
300251,-81568,85
300264,-81252,88
305308,-81617,85
305362,-81276,89
306997,-81563,85
309196,-81530,83
313837,-81948,89
315216,-81197,84
317595,-81808,83
321943,-81966,84
328509,-81677,86
333102,-81923,83
333727,-81729,90
342768,-81139,88
344324,-81109,89
347035,-81260,87
347201,-81543,90
351455,-81278,86
352455,-81926,90
75,-80676,90
906,-80511,90
3086,-80199,88
10838,-80333,88
12975,-80358,87
13535,-80666,89
13734,-80039,90
17946,-80112,82
21354,-80870,84
25214,-80638,87
27486,-80371,86
28795,-80362,85
30195,-80533,87
33851,-80535,89
40687,-80012,86
42573,-80231,81
43646,-80313,90
48797,-80888,86
48934,-80817,88
49091,-80486,88
50903,-80423,89
51301,-80132,90
52195,-80171,89
54352,-80854,81
54401,-80860,90
55611,-80020,81
56598,-80139,81
58291,-80577,90
59023,-80085,85
61864,-80507,90
62190,-80734,90
62849,-80995,82
62998,-80613,88
64928,-80120,87
66825,-80055,88
67962,-80290,81
71360,-80641,85
72776,-80111,88
75566,-80811,86
76281,-80727,88
79521,-80964,84
81479,-80842,87
84002,-80360,89
86368,-80312,89
89010,-80110,88
93264,-80309,89
93780,-80738,88
97253,-80539,88
97395,-80593,86
100328,-80125,90
100617,-80059,89
104815,-80784,89
108425,-80761,87
111789,-80824,90
117569,-80169,85
121431,-80895,85
123363,-80553,90
124188,-80861,89
125358,-80707,89
125706,-80523,89
129118,-80919,90
132754,-80102,88
132838,-80603,87
133021,-80203,90
134181,-80138,83
134390,-80207,89
135717,-81000,85
137883,-80666,88
139392,-80437,85
143722,-80194,83
144937,-80390,86
150942,-80131,87
152720,-80656,87
155301,-80735,82
156360,-80652,88
157369,-80512,86
159002,-80297,83
159018,-80805,86
161349,-80597,84
162198,-80161,88
164609,-80834,81
164645,-80789,85
167128,-80388,90
171327,-80519,86
172747,-80697,82
174062,-80336,85
174587,-80004,85
175040,-80726,90
184362,-80585,82
189957,-80890,86
191800,-80011,90
194299,-80730,84
195376,-80018,88
196063,-80219,85
201340,-80011,87
204290,-80920,86
205002,-80980,90
213947,-80577,90
214366,-80763,81
217363,-80104,86
221726,-80390,86
223073,-80585,82
225574,-80278,86
228748,-80763,83
229962,-80297,90
232156,-80998,88
233915,-80204,85
238590,-80527,85
239961,-80178,85
241326,-80579,85
241443,-80494,89
247686,-80321,83
248520,-80929,87
249356,-80413,81
251283,-80800,89
251958,-80363,81
254620,-80988,89
254990,-80086,83
257094,-80259,87
258124,-80099,88
262681,-80885,88
263554,-80541,86
265499,-80662,90
265796,-80813,87
269812,-80371,89
270476,-80838,88
271191,-80629,90
271515,-80997,89
273816,-80217,85
274064,-80072,88
281385,-80737,86
282376,-80201,83
282410,-80730,85
283873,-80178,86
284226,-80251,88
284477,-80339,84
286784,-80552,87
291514,-80237,89
292558,-80906,87
298107,-80705,81
301707,-80649,89
305285,-80897,90
306632,-80001,82
307008,-80448,84
307249,-80717,89
310343,-80884,90
310524,-80532,87
311653,-80342,87
311873,-80324,89
314584,-80620,81
315994,-80474,90
319285,-80345,87
321547,-80152,89
328888,-80364,86
334400,-80458,87
334544,-80229,84
335204,-80454,90
337789,-80696,88
338254,-80663,81
339652,-80428,83
340026,-80873,86
340564,-80939,85
341213,-80239,84
347125,-80210,87
349069,-80512,81
349353,-80393,84
349471,-80425,83
351338,-80512,87
351791,-80319,86
353596,-80098,88
358398,-80341,81
117,-79062,85
11272,-79664,83
13428,-79172,88
16519,-79236,81
17233,-79225,87
21300,-79896,83
22439,-79618,90
26050,-79742,83
27153,-79689,87
33940,-79026,87
38660,-79610,86
39361,-79479,86
40158,-79072,90
44473,-79468,87
48068,-79389,83
60188,-79210,87
62429,-79344,87
62463,-79018,83
64148,-79993,87
65074,-79254,89
67907,-79871,89
69694,-79326,86
70832,-79126,85
71894,-79807,85
71895,-79807,85
72320,-79356,82
73995,-79134,86
77431,-79821,83
78120,-79069,84
80139,-79681,81
80924,-79692,86
80992,-79748,90
81455,-79762,85
82827,-79008,87
83547,-79829,87
84087,-79914,85
86149,-79307,86
87675,-79300,84
88994,-79524,90
89240,-79387,90
90141,-79221,86
90319,-79872,86
92054,-79726,90
92543,-79209,82
94133,-79444,90
96103,-79716,86
96982,-79800,83
101808,-79192,86
104024,-79626,89
105013,-79337,90
107903,-79986,88
110371,-79960,90
113612,-79295,88
114711,-79422,88
116398,-79669,88
120653,-79103,86
128579,-79213,81
129778,-79983,90
131456,-79689,87
134659,-79571,86
135325,-79456,87
138825,-79332,86
138969,-79538,88
139568,-79135,88
142253,-79257,90
142517,-79960,87
143670,-79872,90
143757,-79567,85
144240,-79840,86
145066,-79680,83
151324,-79663,87
